principal_id,client_id,permission
VC-004,CL-BH,read_write_draft
VC-003,CL-BH,read_all_client_services
VC-006,CL-BH,read_delivery_metadata
VC-005,CL-CS,read_write_draft
VC-003,CL-CS,read_all_client_services
VC-006,CL-CS,read_delivery_metadata
VC-005,CL-EL,read_write_draft
VC-003,CL-EL,read_all_client_services
VC-006,CL-EL,read_delivery_metadata
VC-004,CL-FF,read_write_draft
VC-003,CL-FF,read_all_client_services
VC-006,CL-FF,read_delivery_metadata
VC-005,CL-LP,read_write_draft
VC-003,CL-LP,read_all_client_services
VC-006,CL-LP,read_delivery_metadata
VC-004,CL-MH,read_write_draft
VC-003,CL-MH,read_all_client_services
VC-006,CL-MH,read_delivery_metadata
VC-005,CL-PR,read_write_draft
VC-003,CL-PR,read_all_client_services
VC-006,CL-PR,read_delivery_metadata
VC-001,ALL,executive_read_approve
VC-002,INTERNAL,read_write_product
VC-007,CL-BH,read_assigned_project
VC-008,CL-MH,read_assigned_project
VC-008,CL-CS,read_assigned_project
VC-008,CL-LP,read_assigned_project
VC-009,CL-BH,read_assigned_project
VC-009,CL-PR,read_assigned_project
VC-009,CL-FF,read_assigned_project
